symbol,control_1,control_2,control_3,Hoxa1KN_1,Hoxa1KN_2,Hoxa1KN_3
TCP1,11.9883,12.0415,12.0983,11.7577,11.7896,11.7909
TCP11,5.3759,5.4359,5.4039,5.1654,5.1789,5.2581
TCP11L1,8.7031,8.8698,8.8336,7.848,7.8005,7.6128
TCP11L2,6.9981,6.7651,6.7271,7.8938,7.5536,7.6889
TCTA,9.2689,9.2622,9.4552,9.227,9.1711,9.1071
TCTE1,4.1505,4.0956,3.938,3.972,3.9423,4.1595
TCTN1,8.1315,8.0128,8.1032,8.0867,8.138,8.1979
TCTN2,7.6556,7.7309,7.3372,7.9814,7.9627,8.1069
TCTN3,9.8969,9.9134,9.9441,9.5096,9.5614,9.6222
TDG,8.8433,8.8357,8.8169,8.8421,8.9947,9.0439
TDP1,8.5765,8.7432,8.7513,7.7445,7.9572,7.9057
TDP2,9.1846,9.1195,9.0694,9.6033,9.6252,9.6922
TDRD3,7.1456,7.1336,7.2978,7.2354,7.2644,7.1065
TDRD7,7.544,7.7819,7.8269,7.6485,7.4557,7.4269
TDRKH,4.427,5.0646,5.2137,4.7181,3.5338,3.8686
TEAD1,12.506,12.5202,12.4276,12.1827,12.2415,12.1832
TEAD2,9.739,9.7801,9.7432,10.3904,10.3438,10.3257
TEAD3,9.7579,9.7837,9.8133,9.4406,9.5954,9.4942
TEAD4,7.5915,7.8653,8.0472,5.0773,5.1406,5.0954
TEC,4.3406,4.863,4.3614,3.2195,4.1101,3.8686
TECPR1,9.1969,9.2206,9.2578,9.6111,9.4929,9.5376
TECPR2,9.9082,9.872,9.8974,10.2247,10.0637,10.226
TECR,9.6896,9.6032,9.703,10.0125,9.9383,10.065
TECRL,3.1705,4.0956,3.3362,3.5161,3.1274,3.2797
TECTA,3.5242,3.2413,3.938,3.2195,2.5596,3.3961
TEDC1,6.6663,6.8357,6.8302,5.4372,5.4839,5.2885
TEDC2,6.1094,6.0725,6.4099,5.8632,5.4839,5.5867
TEF,8.4114,8.3819,8.4933,8.3157,8.3952,8.0898
TEFM,7.0398,6.9547,7.1814,6.6694,6.6937,6.845
TEK,8.1443,8.0957,8.3074,9.8508,9.9563,9.9952
TELO2,9.0684,9.0558,9.1579,8.7596,8.8774,8.8711
TEN1,7.2321,7.4807,7.2978,7.7229,7.5608,7.6007
TEN1-CDK3,5.0343,4.7505,5.1794,5.4014,4.3964,5.4317
TENM1,2,2,2.7255,3.6442,4.1872,4.8317
TENM3,11.2597,11.2337,11.1782,11.0815,11.0757,11.0255
TENM4,9.6453,9.7029,9.643,9.4251,9.4446,9.2396
TENT2,9.3093,9.2389,9.2496,9.6228,9.6303,9.5104
TENT4A,9.0066,8.8597,8.9901,8.0979,8.0684,8.1281
TENT4B,8.5186,8.5083,8.6137,8.5628,8.3911,8.5919
TENT5A,9.1784,9.088,9.0435,9.6555,9.7747,9.5104
TENT5B,6.5746,6.442,6.629,4.6587,4.8401,5.0249
TENT5C,8.8821,8.7022,8.5312,11.9548,11.8042,11.9286
TEP1,8.9235,8.6246,8.7159,9.1669,9.0627,9.1471
TEPSIN,8.2067,7.892,8.0233,8.3443,8.209,8.3679
TERB1,3.1705,3.3989,2.904,4.0665,2.3068,2.2678
TERF1,8.75,8.6483,8.7455,8.8321,9.1154,9.0416
TERF2,8.7074,8.8009,8.7513,8.6263,8.4548,8.5295
TERF2IP,10.3118,10.3593,10.3303,10.3766,10.3269,10.3035
TES,9.6453,9.7309,9.712,10.0735,10.2924,10.1431
TESC,2,2.348,2.2843,3.7619,2.9618,2.6888
TESK1,8.8235,8.6005,8.6105,8.5547,8.5958,8.5485
TESK2,4.7287,5.2415,4.9547,6.639,6.4652,6.6001
TESMIN,4.7952,5.2415,4.7363,3.6442,3.6473,3.8686
TET1,6.2583,6.5635,6.2037,5.8893,6.1557,6.3049
TET2,9.0851,9.0735,9.0834,9.3282,9.3367,9.3875
TET3,8.6681,8.6005,8.3232,8.0466,8.0886,8.0414
TEX10,9.4958,9.4895,9.5336,9.7512,9.7902,9.8109
TEX2,10.1354,10.1214,10.1834,8.8587,9.1154,8.9683
TEX22,3.6731,3.5409,3.0629,3.6442,3.7525,3.8686
TEX261,11.4072,11.2939,11.3959,11.3376,11.3273,11.3082
TEX264,8.4888,8.5841,8.6137,9.4049,9.3927,9.4325
TEX30,6.6484,6.9799,6.9969,6.5599,6.6535,6.29
TEX35,3.3581,4.1849,3.7639,3.6442,3.8505,3.8686
TEX9,5.3318,5.3612,5.5452,5.4722,5.5438,5.562
TF,2.9547,3.3989,3.0629,3.2195,3.4107,3.6977
TFAM,8.7625,8.6909,8.7159,8.2865,8.3706,8.461
TFAP2A,6.7856,6.3093,6.5507,6.0827,6.0147,5.7487
TFAP2C,2.3925,2.348,2.5217,4.7181,4.8401,5.4317
TFAP4,6.4766,6.6444,6.5099,6.4763,6.418,6.8035
TFB1M,7.5915,7.7085,7.6188,8.4401,8.4587,8.5391
TFB2M,8.099,8.2588,8.1832,8.3907,8.3665,8.5327
TFCP2,9.1596,9.0851,9.1948,8.7346,8.8391,8.6806
TFDP1,11.0493,11.0887,11.1826,10.6595,10.6835,10.688
TFDP2,8.8472,8.8998,8.9191,9.5633,9.6912,9.685
TFE3,11.2231,11.2113,11.2569,11.2113,11.1581,11.2605
TFEB,6.7014,6.706,6.8412,5.9149,5.8106,5.7267
TFEC,3.1705,3.0644,2.7255,4.0665,3.6473,3.0143
TFG,11.2866,11.3487,11.3666,10.8749,10.9114,10.9153
TFIP11,9.3458,9.385,9.3023,8.8817,9.0027,8.9254
TFPI,11.1166,11.2166,11.0933,12.6237,12.6085,12.7288
TFPI2,11.5786,11.7132,11.5676,13.8859,13.5211,14.0879
TFPT,5.3759,5.4718,5.8145,6.3875,6.1747,6.5254
TFRC,12.5109,12.5465,12.5208,12.4521,12.502,12.4563
TG,3.1705,3.3989,2.904,3.972,4.6892,4.6087
TGDS,7.1328,6.9161,7.2491,7.2354,7.3674,7.3923
TGFB1,11.9046,11.8539,11.9317,12.6149,12.6218,12.6274
TGFB1I1,11.0569,11.106,11.1105,10.5462,10.6473,10.626
TGFB2,8.9086,8.846,8.6765,9.1263,9.22,9.1861
TGFB3,5.5783,5.6072,5.2472,6.2532,6.9803,6.4466
TGFBI,15.7055,15.6718,15.7,16.3822,16.4022,16.427
TGFBR1,9.4423,9.5642,9.5096,9.8001,9.9285,10.0305
