"Term","GO","id","level"
"negative regulation of axonemal microtubule depolymerization","biological_process","GO:0007027",9
"negative regulation of axonemal microtubule depolymerization","biological_process","GO:0007027",7
"cytoplasm organization","biological_process","GO:0007028",4
"endoplasmic reticulum organization","biological_process","GO:0007029",5
"Golgi organization","biological_process","GO:0007030",5
"peroxisome organization","biological_process","GO:0007031",5
"endosome organization","biological_process","GO:0007032",6
"endosome organization","biological_process","GO:0007032",5
"vacuole organization","biological_process","GO:0007033",5
"vacuolar transport","biological_process","GO:0007034",5
"vacuolar acidification","biological_process","GO:0007035",12
"vacuolar calcium ion homeostasis","biological_process","GO:0007036",10
"endocytosed protein transport to vacuole","biological_process","GO:0007038",6
"protein catabolic process in the vacuole","biological_process","GO:0007039",7
"lysosome organization","biological_process","GO:0007040",7
"lysosomal transport","biological_process","GO:0007041",6
"lysosomal lumen acidification","biological_process","GO:0007042",9
"lysosomal lumen acidification","biological_process","GO:0007042",12
"cell-cell junction assembly","biological_process","GO:0007043",6
"cell-substrate junction assembly","biological_process","GO:0007044",6
"obsolete oncogenesis","biological_process","GO:0007048",NA
"cell cycle","biological_process","GO:0007049",4
"spindle organization","biological_process","GO:0007051",6
"spindle organization","biological_process","GO:0007051",4
"mitotic spindle organization","biological_process","GO:0007052",5
"mitotic spindle organization","biological_process","GO:0007052",6
"spindle assembly involved in male meiosis","biological_process","GO:0007053",8
"spindle assembly involved in male meiosis","biological_process","GO:0007053",9
"spindle assembly involved in male meiosis I","biological_process","GO:0007054",7
"spindle assembly involved in male meiosis I","biological_process","GO:0007054",8
"spindle assembly involved in male meiosis II","biological_process","GO:0007055",7
"spindle assembly involved in male meiosis II","biological_process","GO:0007055",8
"spindle assembly involved in female meiosis","biological_process","GO:0007056",8
"spindle assembly involved in female meiosis","biological_process","GO:0007056",9
"spindle assembly involved in female meiosis I","biological_process","GO:0007057",7
"spindle assembly involved in female meiosis I","biological_process","GO:0007057",8
"spindle assembly involved in female meiosis II","biological_process","GO:0007058",8
"spindle assembly involved in female meiosis II","biological_process","GO:0007058",7
"chromosome segregation","biological_process","GO:0007059",4
"male meiosis chromosome segregation","biological_process","GO:0007060",9
"male meiosis chromosome segregation","biological_process","GO:0007060",7
"sister chromatid cohesion","biological_process","GO:0007062",7
"sister chromatid cohesion","biological_process","GO:0007062",4
"regulation of sister chromatid cohesion","biological_process","GO:0007063",7
"regulation of sister chromatid cohesion","biological_process","GO:0007063",5
"mitotic sister chromatid cohesion","biological_process","GO:0007064",8
"mitotic sister chromatid cohesion","biological_process","GO:0007064",7
"male meiosis sister chromatid cohesion","biological_process","GO:0007065",8
"male meiosis sister chromatid cohesion","biological_process","GO:0007065",9
"female meiosis sister chromatid cohesion","biological_process","GO:0007066",9
"female meiosis sister chromatid cohesion","biological_process","GO:0007066",8
"obsolete negative regulation of transcription during mitotic cell cycle","biological_process","GO:0007068",8
"obsolete negative regulation of transcription during mitotic cell cycle","biological_process","GO:0007068",7
"obsolete negative regulation of transcription from RNA polymerase I promoter during mitotic cell cycle","biological_process","GO:0007069",8
"obsolete negative regulation of transcription from RNA polymerase I promoter during mitotic cell cycle","biological_process","GO:0007069",10
"obsolete negative regulation of transcription from RNA polymerase I promoter during mitotic cell cycle","biological_process","GO:0007069",9
"obsolete negative regulation of transcription from RNA polymerase II promoter during mitotic cell cycle","biological_process","GO:0007070",8
"obsolete negative regulation of transcription from RNA polymerase II promoter during mitotic cell cycle","biological_process","GO:0007070",9
"obsolete negative regulation of transcription from RNA polymerase III promoter during mitotic cell cycle","biological_process","GO:0007071",10
"obsolete negative regulation of transcription from RNA polymerase III promoter during mitotic cell cycle","biological_process","GO:0007071",9
"obsolete negative regulation of transcription from RNA polymerase III promoter during mitotic cell cycle","biological_process","GO:0007071",8
"positive regulation of transcription involved in exit from mitosis","biological_process","GO:0007072",9
"positive regulation of transcription involved in exit from mitosis","biological_process","GO:0007072",5
"positive regulation of transcription involved in exit from mitosis","biological_process","GO:0007072",7
"positive regulation of transcription involved in exit from mitosis","biological_process","GO:0007072",8
"positive regulation of transcription involved in exit from mitosis, from RNA polymerase I promoter","biological_process","GO:0007073",10
"positive regulation of transcription involved in exit from mitosis, from RNA polymerase I promoter","biological_process","GO:0007073",6
"positive regulation of transcription involved in exit from mitosis, from RNA polymerase I promoter","biological_process","GO:0007073",9
"positive regulation of transcription involved in exit from mitosis, from RNA polymerase II promoter","biological_process","GO:0007074",6
"positive regulation of transcription involved in exit from mitosis, from RNA polymerase II promoter","biological_process","GO:0007074",9
"positive regulation of transcription involved in exit from mitosis, from RNA polymerase II promoter","biological_process","GO:0007074",10
"positive regulation of transcription involved in exit from mitosis, from RNA polymerase III promoter","biological_process","GO:0007075",6
"positive regulation of transcription involved in exit from mitosis, from RNA polymerase III promoter","biological_process","GO:0007075",10
"positive regulation of transcription involved in exit from mitosis, from RNA polymerase III promoter","biological_process","GO:0007075",9
"mitotic chromosome condensation","biological_process","GO:0007076",5
"mitotic chromosome condensation","biological_process","GO:0007076",8
"mitotic nuclear membrane disassembly","biological_process","GO:0007077",6
"mitotic nuclear membrane disassembly","biological_process","GO:0007077",5
"lamin depolymerization","biological_process","GO:0007078",6
"lamin depolymerization","biological_process","GO:0007078",5
"mitotic chromosome movement towards spindle pole","biological_process","GO:0007079",8
"mitotic chromosome movement towards spindle pole","biological_process","GO:0007079",7
"mitotic metaphase plate congression","biological_process","GO:0007080",8
"mitotic metaphase plate congression","biological_process","GO:0007080",5
