,null_mock_1,null_mock_2,null_IR_1,null_IR_2,wt_IR_1,wt_IR_2,wt_IR_3,wt_IR_4,wt_mock_1,wt_mock_2,wt_mock_3,wt_mock_4
  VMN1R163,0,0,0,0,1,2,0,0,0,0,0,0
  VMN1R165,0,0,0,0,0,1,0,1,0,0,0,0
  VMN1R166,0,0,0,0,2,2,0,0,0,0,0,0
  VMN1R167,0,0,0,0,1,1,0,0,0,0,0,0
  VMN1R168,0,0,0,0,0,0,0,0,0,0,0,0
  VMN1R169,0,0,0,0,0,1,0,0,0,0,0,0
  VMN1R17,0,0,0,0,0,0,0,0,0,0,0,0
  VMN1R170,0,0,0,0,0,0,0,0,0,0,0,0
  VMN1R171,0,0,0,0,5,3,1,0,0,0,2,0
  VMN1R172,0,0,0,0,0,0,0,0,0,0,0,0
  VMN1R173,0,0,0,0,0,0,0,0,0,0,0,0
  VMN1R174,0,0,0,0,0,5,0,0,0,0,0,0
  VMN1R175,0,0,0,1,0,0,0,0,0,0,0,0
  VMN1R176,0,0,0,0,1,0,0,0,0,0,0,0
  VMN1R177,0,0,0,0,1,1,0,0,0,0,0,0
  VMN1R178,0,0,0,0,0,1,0,0,0,0,0,0
  VMN1R179,0,0,0,0,1,1,0,0,0,0,0,0
