User_ID sorted by SD,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
 ENSMUSG00000084105,4.9417,4.882,4.618,5.0622,4.3505,4.7123,4.814,4.7579,5.2362,4.7062,4.3444,4.7477
 ENSMUSG00000079523,13.1583,12.8417,13.1289,12.8148,12.8554,12.5722,12.6146,12.7906,12.9878,13.2461,13.3142,13.2988
 ENSMUSG00000034653,10.7909,10.9036,10.8264,10.9795,10.54,10.5664,10.9897,10.8365,10.9773,10.9946,11.5536,11.0304
 ENSMUSG00000021987,10.9287,10.8453,10.9122,10.9555,10.4067,10.3784,10.4533,10.4308,10.9623,11.0658,10.9064,10.6557
 ENSMUSG00000073468,10.2599,10.4606,10.5358,10.7473,10.1602,10.0913,10.7038,10.5762,10.8135,10.6556,10.8831,10.3684
 ENSMUSG00000033114,8.5812,8.6268,8.507,8.4788,8.0611,8.1943,8.1127,8.3475,8.5681,8.4883,8.1427,7.8076
 ENSMUSG00000076666,8.7808,8.3841,8.3255,7.948,8.2446,8.147,8.2222,8.0405,8.6456,8.6,8.6063,8.4183
 ENSMUSG00000037341,11.9006,12.0775,11.9666,12.131,11.7152,11.6788,12.1075,12.2321,12.2648,12.223,12.6189,12.2333
 ENSMUSG00000025008,8.0094,8.2473,8.2534,7.9284,7.6337,7.6587,7.7415,7.9467,8.0182,7.8253,8.5013,7.9663
 ENSMUSG00000022323,8.4327,8.2473,8.5377,8.139,7.9001,7.7376,8.4419,8.6099,8.2418,8.2139,8.3331,8.0574
 ENSMUSG00000003559,9.2472,9.132,9.1672,9.0605,9.0054,8.7766,9.2453,9.3054,8.9517,9.0496,9.5783,9.692
 ENSMUSG00000038679,11.3389,11.4026,11.4225,11.2575,11.017,11.0863,10.7639,10.8644,11.239,11.1065,10.6877,10.8082
 ENSMUSG00000031974,9.7984,9.9242,9.6832,9.6663,9.3036,9.3068,9.5974,9.8523,9.5603,9.5246,9.405,9.0457
 ENSMUSG00000029298,12.6895,12.5136,12.7086,12.6899,12.1978,12.3214,12.596,12.4985,12.7386,13.1048,12.9488,12.8838
 ENSMUSG00000003865,9.1274,9.1059,8.9676,9.4839,8.936,8.6397,8.6571,8.7143,9.2359,9.2392,8.9795,8.8911
 ENSMUSG00000000149,10.6958,10.6589,10.7629,10.7763,10.277,9.9273,10.2191,10.3244,10.3903,10.5567,10.6047,10.5571
 ENSMUSG00000038024,10.7909,10.8288,10.8842,10.8963,10.2926,10.2112,10.5548,10.4466,10.8376,10.8806,10.9643,10.571
 ENSMUSG00000023873,7.1881,7.3187,7.0549,6.8699,6.882,7.0231,6.7279,6.8166,7.2993,7.4518,6.7553,6.7022
 ENSMUSG00000002565,7.4928,7.5983,7.612,8.0005,7.3782,7.8365,7.6065,7.2511,8.0608,7.8584,7.825,7.9569
 ENSMUSG00000002325,12.2444,11.9621,12.1693,12.0732,11.7118,11.7182,12.3723,12.1007,11.9663,12.4551,12.4855,11.9921
 ENSMUSG00000069255,8.6243,8.6795,8.4796,8.6618,8.2123,8.0779,8.3723,8.4872,8.9104,8.9068,8.7468,8.4421
 ENSMUSG00000024856,10.3562,10.2223,10.222,10.0805,10.0838,9.6434,10.1687,10.5123,10.2178,10.3262,10.6947,10.1554
 ENSMUSG00000015314,12.2458,12.3705,12.219,12.3477,11.7689,11.843,11.7213,11.9454,12.3883,12.4508,12.0383,12.1245
 ENSMUSG00000025228,11.3991,11.3645,11.3909,11.3445,11.0309,10.9674,11.444,11.5441,11.4829,11.4487,11.9943,11.4602
 ENSMUSG00000037103,10.0467,10.1156,9.9629,10.2634,9.5813,9.5591,10.1254,10.0333,10.3071,10.3183,10.2365,9.9053
 ENSMUSG00000015291,11.4426,11.6521,11.4055,11.883,11.1659,11.2055,11.2598,11.4709,11.6847,11.621,11.2261,11.0197
 ENSMUSG00000021171,11.4916,11.6381,11.4995,11.5185,11.029,11.181,11.4831,11.4946,11.774,11.6421,11.3164,10.9293
 ENSMUSG00000105082,5.6865,5.6563,5.4972,5.9259,5.5695,5.3297,5.8184,5.9391,5.9063,5.9637,6.1326,6.1564
 ENSMUSG00000041977,10.7766,10.9631,10.7989,11.1311,10.5217,10.4716,10.6175,10.7895,11.0075,11.0787,10.6927,10.3113
 ENSMUSG00000028719,11.0809,10.876,11.1241,10.9082,10.9013,10.6383,10.9672,10.9099,10.9746,11.1343,11.6093,11.3814
 ENSMUSG00000000823,10.3187,10.5295,10.4717,10.9039,10.2629,10.3947,10.492,10.5822,10.6842,10.8253,9.9546,10.4596
 ENSMUSG00000044864,9.6087,9.7141,9.6832,9.8543,9.4684,9.2452,9.74,9.954,9.7121,9.7614,9.2408,9.1894
 ENSMUSG00000071042,12.8746,12.8091,12.7984,12.6345,12.7062,12.4812,12.4422,13.0125,12.8298,12.924,13.3113,13.1557
 ENSMUSG00000060044,10.3136,10.3766,10.4915,10.2047,9.9097,9.6228,10.0494,9.8323,10.1416,10.2009,9.9379,10.3224
